filename,title,description,year,author,size
IMG_0297.JPEG,Arlequin si Columbina,Pictura in ulei,2010,Augustin Costinescu,
IMG_0298.JPEG,Doamna cu umbrela,Pictura in ulei,2015,Sorin Adam,
IMG_0299.JPEG,Caii,Pictura in ulei,2023,Cecilia Bustea,
IMG_0300.JPEG,Nud,Pictura in ulei,2010,Sorin Adam,
IMG_0301.JPEG,Fata cu palarie alba,Pictura in ulei,,Constantin Daranici,
IMG_0302.JPEG,Nud,Acuarela,,Setran,
IMG_0303.JPEG,Nud,Pictura in ulei,2023,Cecilia Bustea,
IMG_0304.JPEG,Adolescenta,Pictura in ulei,2007,Uta Chelaru,
IMG_0305.JPEG,Venetia,Acuarela,1961,,
IMG_0306.JPEG,Dansul pelicanilor in delta africana,Pictura in ulei,2009,Teodor Vescu,
IMG_0307.JPEG,Port la mare in Cadaques,Pictura in ulei,2009,Teodor Vescu,
IMG_0308.JPEG,Cascada in Kenya,Pictura in ulei,2009,Teodor Vescu,
IMG_0309.JPEG,Maternitate,Pictura in ulei,2024,Bompa,
IMG_0310.JPEG,Corrida,Pictura in ulei,2009,Teodor Vescu,
IMG_0311.JPEG,Peisaj,Pastel,,C Artachino,
IMG_0312.JPEG,Terasa in Italia,Pictura in ulei pe carton,,Gheorghe Catargi,
IMG_0313.JPEG,Catalonia franceza,Pictura in ulei pe carton,2009,Teodor Vescu,
IMG_0314.JPEG,Castelul Sully in Valea Loirei,Pictura in ulei pe carton,2009,Teodor Vescu,
IMG_0315.JPEG,Omu' cu catelu' inspirat dupa Corneliu Baba,Pictura in ulei,2011,Radu Daranga,
IMG_0317.JPEG,Pomul vietii,Pictura in ulei,2017,Stefan Pelmus,60x60 cm
IMG_0318.JPEG,Teatru Kabuki,Pictura in ulei,2010,Tedor Vescu,
IMG_0319.JPEG,Autoportret,Pictura in ulei pe carton,,Calafeteanu,
IMG_0320.JPEG,Peisaj,Pictura in ulei pe carton,,P Vartanian,
IMG_0321.JPEG,Strada in Sofia,Pictura in ulei pe carton,,,
IMG_0322.JPEG,Peisaj la Pont Aven Bretagne,Pictura in ulei,2009,Teodor Vescu,
IMG_0323.JPEG,Peisaj la Balcik,Pictura in ulei,2009,Teodor Vescu,
IMG_0324.JPEG,Titlu necunoscut,,2021,BB,
IMG_0325.JPEG,Caii in preerie pe furtuna dupa herghelie in Buzau,Pictura in ulei,2008,Teodor Vescu,
